ticker,sector
MMM,industrials
ABT,health_care
ABBV,health_care
ACN,information_technology
ATVI,information_technology
AYI,industrials
ADBE,information_technology
AMD,information_technology
AAP,consumer_discretionary
AES,utilities
AET,health_care
AMG,financials
AFL,financials
A,health_care
APD,materials
AKAM,information_technology
ALK,industrials
ALB,materials
ARE,real_estate
ALXN,health_care
ALGN,health_care
ALLE,industrials
AGN,health_care
ADS,information_technology
LNT,utilities
ALL,financials
GOOGL,information_technology
GOOG,information_technology
MO,consumer_staples
AMZN,consumer_discretionary
AEE,utilities
AAL,industrials
AEP,utilities
AXP,financials
AIG,financials
AMT,real_estate
AWK,utilities
AMP,financials
ABC,health_care
AME,industrials
AMGN,health_care
APH,information_technology
APC,energy
ADI,information_technology
ANDV,energy
ANSS,information_technology
ANTM,health_care
AON,financials
AOS,industrials
APA,energy
AIV,real_estate
AAPL,information_technology
AMAT,information_technology
APTV,consumer_discretionary
ADM,consumer_staples
ARNC,industrials
AJG,financials
AIZ,financials
T,telecommunication_services
ADSK,information_technology
ADP,information_technology
AZO,consumer_discretionary
AVB,real_estate
AVY,materials
BHGE,energy
BLL,materials
BAC,financials
BK,financials
BAX,health_care
BBT,financials
BDX,health_care
BRK.B,financials
BBY,consumer_discretionary
BIIB,health_care
BLK,financials
HRB,financials
BA,industrials
BKNG,consumer_discretionary
BWA,consumer_discretionary
BXP,real_estate
BSX,health_care
BHF,financials
BMY,health_care
AVGO,information_technology
BF.B,consumer_staples
CHRW,industrials
CA,information_technology
COG,energy
CDNS,information_technology
CPB,consumer_staples
COF,financials
CAH,health_care
KMX,consumer_discretionary
CCL,consumer_discretionary
CAT,industrials
CBOE,financials
CBRE,real_estate
CBS,consumer_discretionary
CELG,health_care
CNC,health_care
CNP,utilities
CTL,telecommunication_services
CERN,health_care
CF,materials
SCHW,financials
CHTR,consumer_discretionary
CVX,energy
CMG,consumer_discretionary
CB,financials
CHD,consumer_staples
CI,health_care
XEC,energy
CINF,financials
CTAS,industrials
CSCO,information_technology
C,financials
CFG,financials
CTXS,information_technology
CLX,consumer_staples
CME,financials
CMS,utilities
KO,consumer_staples
CTSH,information_technology
CL,consumer_staples
CMCSA,consumer_discretionary
CMA,financials
CAG,consumer_staples
CXO,energy
COP,energy
ED,utilities
STZ,consumer_staples
COO,health_care
GLW,information_technology
COST,consumer_staples
COTY,consumer_staples
CCI,real_estate
CSX,industrials
CMI,industrials
CVS,consumer_staples
DHI,consumer_discretionary
DHR,health_care
DRI,consumer_discretionary
DVA,health_care
DE,industrials
DAL,industrials
XRAY,health_care
DVN,energy
DLR,real_estate
DFS,financials
DISCA,consumer_discretionary
DISCK,consumer_discretionary
DISH,consumer_discretionary
DG,consumer_discretionary
DLTR,consumer_discretionary
D,utilities
DOV,industrials
DWDP,materials
DPS,consumer_staples
DTE,utilities
DRE,real_estate
DUK,utilities
DXC,information_technology
ETFC,financials
EMN,materials
ETN,industrials
EBAY,information_technology
ECL,materials
EIX,utilities
EW,health_care
EA,information_technology
EMR,industrials
ETR,utilities
EVHC,health_care
EOG,energy
EQT,energy
EFX,industrials
EQIX,real_estate
EQR,real_estate
ESS,real_estate
EL,consumer_staples
ES,utilities
RE,financials
EXC,utilities
EXPE,consumer_discretionary
EXPD,industrials
ESRX,health_care
EXR,real_estate
XOM,energy
FFIV,information_technology
FB,information_technology
FAST,industrials
FRT,real_estate
FDX,industrials
FIS,information_technology
FITB,financials
FE,utilities
FISV,information_technology
FLIR,information_technology
FLS,industrials
FLR,industrials
FMC,materials
FL,consumer_discretionary
F,consumer_discretionary
FTV,industrials
FBHS,industrials
BEN,financials
FCX,materials
GPS,consumer_discretionary
GRMN,consumer_discretionary
IT,information_technology
GD,industrials
GE,industrials
GGP,real_estate
GIS,consumer_staples
GM,consumer_discretionary
GPC,consumer_discretionary
GILD,health_care
GPN,information_technology
GS,financials
GT,consumer_discretionary
GWW,industrials
HAL,energy
HBI,consumer_discretionary
HOG,consumer_discretionary
HRS,information_technology
HIG,financials
HAS,consumer_discretionary
HCA,health_care
HCP,real_estate
HP,energy
HSIC,health_care
HSY,consumer_staples
HES,energy
HPE,information_technology
HLT,consumer_discretionary
HOLX,health_care
HD,consumer_discretionary
HON,industrials
HRL,consumer_staples
HST,real_estate
HPQ,information_technology
HUM,health_care
HBAN,financials
HII,industrials
IDXX,health_care
INFO,industrials
ITW,industrials
ILMN,health_care
IR,industrials
INTC,information_technology
ICE,financials
IBM,information_technology
INCY,health_care
IP,materials
IPG,consumer_discretionary
IFF,materials
INTU,information_technology
ISRG,health_care
IVZ,financials
IPGP,information_technology
IQV,health_care
IRM,real_estate
JEC,industrials
JBHT,industrials
SJM,consumer_staples
JNJ,health_care
JCI,industrials
JPM,financials
JNPR,information_technology
KSU,industrials
K,consumer_staples
KEY,financials
KMB,consumer_staples
KIM,real_estate
KMI,energy
KLAC,information_technology
KSS,consumer_discretionary
KHC,consumer_staples
KR,consumer_staples
LB,consumer_discretionary
LLL,industrials
LH,health_care
LRCX,information_technology
LEG,consumer_discretionary
LEN,consumer_discretionary
LUK,financials
LLY,health_care
LNC,financials
LKQ,consumer_discretionary
LMT,industrials
L,financials
LOW,consumer_discretionary
LYB,materials
MTB,financials
MAC,real_estate
M,consumer_discretionary
MRO,energy
MPC,energy
MAR,consumer_discretionary
MMC,financials
MLM,materials
MAS,industrials
MA,information_technology
MAT,consumer_discretionary
MKC,consumer_staples
MCD,consumer_discretionary
MCK,health_care
MDT,health_care
MRK,health_care
MET,financials
MTD,health_care
MGM,consumer_discretionary
KORS,consumer_discretionary
MCHP,information_technology
MU,information_technology
MSFT,information_technology
MAA,real_estate
MHK,consumer_discretionary
TAP,consumer_staples
MDLZ,consumer_staples
MON,materials
MNST,consumer_staples
MCO,financials
MS,financials
MOS,materials
MSI,information_technology
MSCI,financials
MYL,health_care
NDAQ,financials
NOV,energy
NAVI,financials
NKTR,health_care
NTAP,information_technology
NFLX,information_technology
NWL,consumer_discretionary
NFX,energy
NEM,materials
NWSA,consumer_discretionary
NWS,consumer_discretionary
NEE,utilities
NLSN,industrials
NKE,consumer_discretionary
NI,utilities
NBL,energy
JWN,consumer_discretionary
NSC,industrials
NTRS,financials
NOC,industrials
NCLH,consumer_discretionary
NRG,utilities
NUE,materials
NVDA,information_technology
ORLY,consumer_discretionary
OXY,energy
OMC,consumer_discretionary
OKE,energy
ORCL,information_technology
PCAR,industrials
PKG,materials
PH,industrials
PAYX,information_technology
PYPL,information_technology
PNR,industrials
PBCT,financials
PEP,consumer_staples
PKI,health_care
PRGO,health_care
PFE,health_care
PCG,utilities
PM,consumer_staples
PSX,energy
PNW,utilities
PXD,energy
PNC,financials
RL,consumer_discretionary
PPG,materials
PPL,utilities
PX,materials
PFG,financials
PG,consumer_staples
PGR,financials
PLD,real_estate
PRU,financials
PEG,utilities
PSA,real_estate
PHM,consumer_discretionary
PVH,consumer_discretionary
QRVO,information_technology
PWR,industrials
QCOM,information_technology
DGX,health_care
RRC,energy
RJF,financials
RTN,industrials
O,real_estate
RHT,information_technology
REG,real_estate
REGN,health_care
RF,financials
RSG,industrials
RMD,health_care
RHI,industrials
ROK,industrials
COL,industrials
ROP,industrials
ROST,consumer_discretionary
RCL,consumer_discretionary
CRM,information_technology
SBAC,real_estate
SCG,utilities
SLB,energy
STX,information_technology
SEE,materials
SRE,utilities
SHW,materials
SPG,real_estate
SWKS,information_technology
SLG,real_estate
SNA,consumer_discretionary
SO,utilities
LUV,industrials
SPGI,financials
SWK,consumer_discretionary
SBUX,consumer_discretionary
STT,financials
SRCL,industrials
SYK,health_care
STI,financials
SIVB,financials
SYMC,information_technology
SYF,financials
SNPS,information_technology
SYY,consumer_staples
TROW,financials
TTWO,information_technology
TPR,consumer_discretionary
TGT,consumer_discretionary
TEL,information_technology
FTI,energy
TXN,information_technology
TXT,industrials
TMO,health_care
TIF,consumer_discretionary
TWX,consumer_discretionary
TJX,consumer_discretionary
TMK,financials
TSS,information_technology
TSCO,consumer_discretionary
TDG,industrials
TRV,financials
TRIP,consumer_discretionary
FOXA,consumer_discretionary
FOX,consumer_discretionary
TSN,consumer_staples
UDR,real_estate
ULTA,consumer_discretionary
USB,financials
UAA,consumer_discretionary
UA,consumer_discretionary
UNP,industrials
UAL,industrials
UNH,health_care
UPS,industrials
URI,industrials
UTX,industrials
UHS,health_care
UNM,financials
VFC,consumer_discretionary
VLO,energy
VAR,health_care
VTR,real_estate
VRSN,information_technology
VRSK,industrials
VZ,telecommunication_services
VRTX,health_care
VIAB,consumer_discretionary
V,information_technology
VNO,real_estate
VMC,materials
WMT,consumer_staples
WBA,consumer_staples
DIS,consumer_discretionary
WM,industrials
WAT,health_care
WEC,utilities
WFC,financials
WELL,real_estate
WDC,information_technology
WU,information_technology
WRK,materials
WY,real_estate
WHR,consumer_discretionary
WMB,energy
WLTW,financials
WYN,consumer_discretionary
WYNN,consumer_discretionary
XEL,utilities
XRX,information_technology
XLNX,information_technology
XL,financials
XYL,industrials
YUM,consumer_discretionary
ZBH,health_care
ZION,financials
ZTS,health_care
